section_image,section_title,slug,admin_url
253_CitadelMap040216.jpg,Citadel,citadel,https://holy-land-photos.vercel.app/admin/collections/sections/253
280_MycenaeCitadelMap.jpg,Citadel,citadel-280,https://holy-land-photos.vercel.app/admin/collections/sections/280
350_CitadelJaffaGate.jpg,Citadel at Jaffa Gate (folder),citadel-at-jaffa-gate-folder,https://holy-land-photos.vercel.app/admin/collections/sections/350
352_DavidTower050509.jpg,Citadel Museum,citadel-museum,https://holy-land-photos.vercel.app/admin/collections/sections/352
CityofDavid.jpg,City of David  Views TO,city-of-david-views-to,https://holy-land-photos.vercel.app/admin/collections/sections/93
ColossaeMap3.jpg,Colossae,colossae,https://holy-land-photos.vercel.app/admin/collections/sections/62
386_CopticPriestMap.jpg,Coptic Chapels 4 images,coptic-chapels-4-images,https://holy-land-photos.vercel.app/admin/collections/sections/386
ErastusArtifact.jpg,Corinth Artifacts,corinth-artifacts,https://holy-land-photos.vercel.app/admin/collections/sections/95
CorinthMap03.jpg,Corinth Introduction,corinth-introduction,https://holy-land-photos.vercel.app/admin/collections/sections/74
239_CorinthMap040216.jpg,Corinth Site,corinth-site,https://holy-land-photos.vercel.app/admin/collections/sections/239
250_PelopMap040216.jpg,Corinthian Canal,corinthian-canal,https://holy-land-photos.vercel.app/admin/collections/sections/250
226_CreteMap031225.jpg,Crete,crete,https://holy-land-photos.vercel.app/admin/collections/sections/226
566_Cyclades-07.jpg,Cyclades Islands,cyclades-islands,https://holy-land-photos.vercel.app/admin/collections/sections/566
419_CyprusMap02.jpg,Cyprus,cyprus,https://holy-land-photos.vercel.app/admin/collections/sections/419
561_IJHRLO06_400.jpg,Daily Life,daily-life,https://holy-land-photos.vercel.app/admin/collections/sections/561
136_DailyLife040910Map.jpg,Daily Life and Artifacts,daily-life-and-artifacts,https://holy-land-photos.vercel.app/admin/collections/sections/136
DanMap3.jpg,Dan,dan,https://holy-land-photos.vercel.app/admin/collections/sections/77
219_TreesMap040909.jpg,Date Palms,date-palms,https://holy-land-photos.vercel.app/admin/collections/sections/219
516_ICSHGZ10_400.jpg,David and Solomon 138–149,david-and-solomon-138149,https://holy-land-photos.vercel.app/admin/collections/sections/516
175_DeadSeaMap030928.jpg,Dead Sea,dead-sea,https://holy-land-photos.vercel.app/admin/collections/sections/175
479_Deir-Aziz.jpg,Deir Aziz,deir-aziz,https://holy-land-photos.vercel.app/admin/collections/sections/479
567_DelosMap.jpg,Delos Synagogue,delos-synagogue,https://holy-land-photos.vercel.app/admin/collections/sections/567
262_DelphiArtifactMap040313.jpg,Delphi: Artifacts,delphi-artifacts,https://holy-land-photos.vercel.app/admin/collections/sections/262
261_CharioteerMap040313.jpg,Delphi: Charioteer,delphi-charioteer,https://holy-land-photos.vercel.app/admin/collections/sections/261
264_MarmariaMap040322.jpg,Delphi: Lower Area,delphi-lower-area,https://holy-land-photos.vercel.app/admin/collections/sections/264
265_GCTCDLSI02_400.jpg,Delphi: Site,delphi-site,https://holy-land-photos.vercel.app/admin/collections/sections/265
259_DelphiStadMap040313jpg.jpg,Delphi: Stadium,delphi-stadium,https://holy-land-photos.vercel.app/admin/collections/sections/259
260_DelphiTheaterMap040313.jpg,Delphi: Theater,delphi-theater,https://holy-land-photos.vercel.app/admin/collections/sections/260
Derbe550.jpg,Derbe,derbe,https://holy-land-photos.vercel.app/admin/collections/sections/56
DhahrMirzbanehMap3.jpg,Dhahr Mirzbaneh (Ein Samiya),dhahr-mirzbaneh-ein-samiya,https://holy-land-photos.vercel.app/admin/collections/sections/87
364_DTCarlMap.jpg,Diagonal Tunnel,diagonal-tunnel,https://holy-land-photos.vercel.app/admin/collections/sections/364
DidymaMap3.jpg,Didyma,didyma,https://holy-land-photos.vercel.app/admin/collections/sections/78
247_DiolkosMap040215.jpg,Diolkos,diolkos,https://holy-land-photos.vercel.app/admin/collections/sections/247
532_Atlas259_400.jpg,Disciplines of Historical Geography 254-262,disciplines-of-historical-geography-254-262,https://holy-land-photos.vercel.app/admin/collections/sections/532
517_ISBNAR61_400.jpg,Divided Monarchy 150–164,divided-monarchy-150164,https://holy-land-photos.vercel.app/admin/collections/sections/517
348_DodecaneseMap050421a.jpg,Dodecanese Islands,dodecanese-islands,https://holy-land-photos.vercel.app/admin/collections/sections/348
318_DomeRockMap050526.jpg,Dome of the Rock & Central,dome-of-the-rock-central,https://holy-land-photos.vercel.app/admin/collections/sections/318
452_IJNTMLDF01_400.jpg,Dominus Flevit 15 images,dominus-flevit-15-images,https://holy-land-photos.vercel.app/admin/collections/sections/452
546_INSGDD06_400.jpg,Domus Galilaeae,domus-galilaeae,https://holy-land-photos.vercel.app/admin/collections/sections/546
AlbaniaDurresMuseum01.jpg,Durres Museum,durres-museum,https://holy-land-photos.vercel.app/admin/collections/sections/3616
524_IJNTWW10_400.jpg,Early Church 216-223,early-church-216-223,https://holy-land-photos.vercel.app/admin/collections/sections/524
522_IJNTMDTB03_400.jpg,Early Roman Rule 197-204,early-roman-rule-197-204,https://holy-land-photos.vercel.app/admin/collections/sections/522
wadi-suweinit.jpg,Eastern Benjamin,eastern-benjamin,https://holy-land-photos.vercel.app/admin/collections/sections/1608
390_EastHillMap.jpg,Eastern Hill,eastern-hill,https://holy-land-photos.vercel.app/admin/collections/sections/390
EasternTurkey3.jpg,Eastern Turkey,eastern-turkey,https://holy-land-photos.vercel.app/admin/collections/sections/10
450_Eflatunpinar.jpg,Eflatunpinar,eflatunpinar,https://holy-land-photos.vercel.app/admin/collections/sections/450
498_AtlasB67_400.jpg,Egypt - Zondervan Atlas 65-71,egypt-zondervan-atlas-65-71,https://holy-land-photos.vercel.app/admin/collections/sections/498
499_AtlasA85_400.jpg,Egypt (3 folders),egypt-3-folders,https://holy-land-photos.vercel.app/admin/collections/sections/499
456_En-Avedat2.jpg,Ein Avdat,ein-avdat,https://holy-land-photos.vercel.app/admin/collections/sections/456
315_el-AqsaMap041111.jpg,El Aqsa & South,el-aqsa-south,https://holy-land-photos.vercel.app/admin/collections/sections/315
