type,id,title,issues,admin_url,public_url
photos,2134,Politarch Inscription,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2134,https://holy-land-photos.vercel.app/photos/GNMTTHCT22
photos,2140,Granary and Synagogue,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2140,https://holy-land-photos.vercel.app/photos/TWTQAD15
photos,2212,Gezer Boundary Stone,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2212,https://holy-land-photos.vercel.app/photos/TWMRISAM08
photos,2240,Ibex 2,inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2240,https://holy-land-photos.vercel.app/photos/DLANIB01
photos,2276,Wilderness of Paran 1,inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2276,https://holy-land-photos.vercel.app/photos/ISNHVS04
photos,2277,Wilderness of Paran 2,inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2277,https://holy-land-photos.vercel.app/photos/ISNHVS05
photos,2278,Aijalon Valley,inline-style; embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2278,https://holy-land-photos.vercel.app/photos/ICSHVS50
photos,2311,Temple,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2311,https://holy-land-photos.vercel.app/photos/GSATTZ03
photos,2318,Early Shrine Interior 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2318,https://holy-land-photos.vercel.app/photos/INHVOM18
photos,2331,Theater,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2331,https://holy-land-photos.vercel.app/photos/TNCAI16
photos,2337,Cryptoporticus Nymphaeum,font-tag,https://holy-land-photos.vercel.app/admin/collections/photos/2337,https://holy-land-photos.vercel.app/photos/TWCSSM12
photos,2339,Jezreel Valley,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2339,https://holy-land-photos.vercel.app/photos/Atlas39
photos,2342,Madaba Plateau,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2342,https://holy-land-photos.vercel.app/photos/Atlas61
photos,2344,Canal in Cairo,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2344,https://holy-land-photos.vercel.app/photos/EGVW03
photos,2349,Temples 1 & 2,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2349,https://holy-land-photos.vercel.app/photos/INHVOM20
photos,2350,Spring,font-tag,https://holy-land-photos.vercel.app/admin/collections/photos/2350,https://holy-land-photos.vercel.app/photos/TWCSSM13
photos,2391,Nahal Besor,inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2391,https://holy-land-photos.vercel.app/photos/ISBNVS01
photos,2413,Nazareth,inline-image; inline-style,https://holy-land-photos.vercel.app/admin/collections/photos/2413,https://holy-land-photos.vercel.app/photos/INLGNZ30
photos,2434,West Entrance,div,https://holy-land-photos.vercel.app/admin/collections/photos/2434,https://holy-land-photos.vercel.app/photos/INGLDA10
photos,2435,Architectural Fragment 2,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2435,https://holy-land-photos.vercel.app/photos/INGLDA12
photos,2437,Staircase,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2437,https://holy-land-photos.vercel.app/photos/INGLDA15
photos,2438,Staircase Spolia,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2438,https://holy-land-photos.vercel.app/photos/INGLDA16
photos,2451,Capitals,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2451,https://holy-land-photos.vercel.app/photos/GSATTZ07
photos,2458,Lion,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2458,https://holy-land-photos.vercel.app/photos/SYAD04
photos,2481,The Site,embedded-css,https://holy-land-photos.vercel.app/admin/collections/photos/2481,https://holy-land-photos.vercel.app/photos/GSATTZ02
